CompanyName,Sector,Category,Last Price,NAV,P/E,EPS,Paid up,Dir,Pub,Inst,Foreign,Govt
TRUSTB1MF,Mutual Funds,A,10.1,14.35,8.49,1.19,3234.86,1.51,37.28,61.21,0,0
GRAMEENS2,Mutual Funds,A,21.8,21.71,19.29,1.13,2022.97,20.52,17.57,55.91,6,0
CAPMBDBLMF,Mutual Funds,A,16.7,12.33,21.69,0.77,700,19.948,12.438,67.614,0,0
ICBEPMF1S1,Mutual Funds,A,10.6,9.99,17.38,0.61,949,10,43.97,46.03,0,0
CAPMIBBLMF,Mutual Funds,A,27,12.03,-1350.00,-0.02,867.53,74.79,24.246,0.964,0,0
ATCSLGF,Mutual Funds,A,15.6,15.47,12.28,1.27,816.86,27.27,43.12,29.56,0.05,0
1STPRIMFMF,Mutual Funds,A,24,19.61,20.51,1.17,399,2,77.9,20.09,0.01,0
SEMLFBSLGF,Mutual Funds,A,15.5,2,#DIV/0!,0,928.44,35.64,28.48,35.88,0,0
DBH1STMF,Mutual Funds,A,11.8,13.96,12.16,0.97,1399,16.67,19.2,62.37,1.76,0
ICBAMCL2ND,Mutual Funds,A,15,12.73,24.19,0.62,699,0,31.73,68.26,0.01,0
SEMLIBBLSF,Mutual Funds,A,15.9,12.33,122.31,0.13,1199,50,10.16,39.84,0,0
VAMLBDMF1,Mutual Funds,A,12.1,13.45,11.75,1.03,1242.2,17.73,5.78,76.49,0,0
RELIANCE1,Mutual Funds,A,16,16.07,17.39,0.92,804,20,24.66,55.34,0,0
NLI1STMF,Mutual Funds,A,19.5,18.24,11.96,1.63,702,32.78,25.87,41.35,0,0
1JANATAMF,Mutual Funds,A,10.7,14.06,9.22,1.16,3098.23,71.53,10.17,17.98,0.32,0
PF1STMF,Mutual Funds,A,13.8,10.38,26.54,0.52,799,33.33,33.79,32.87,0.01,0
LRGLOBMF1,Mutual Funds,A,10.8,12.56,13.85,0.78,3309.8,15.06,5.34,74.82,4.78,0
ICBSONALI1,Mutual Funds,A,11.7,11.36,15.60,0.75,1199,25,8.33,66.67,0,0
VAMLRBBF,Mutual Funds,A,11.9,12.38,-66.11,-0.18,1786.45,25.2,4.12,70.68,0,0
NCCBLMF1,Mutual Funds,A,11.2,13.17,11.14,1.0057,1284.03,15,12.37,71.25,1.38,0
PRIME1ICBA,Mutual Funds,A,10.4,10.62,13.87,0.75,1199,20,23.15,56.84,0.01,0
BPML,Paper & Printing,A,49.4,45.55,30.12,1.64,1936.91,70.86,21.24,7.9,0,0
HAKKANIPUL,Paper & Printing,B,78.4,27.82,1120.00,0.07,389,46.26,43.79,9.95,0,0
PAPERPROC,Paper & Printing,Z,131.5,2,#DIV/0!,0,199,43.97,49.27,6.76,0,0
SONALIPAPR,Paper & Printing,A,310.8,309.88,193.04,1.61,199,72.06,22.4,5.54,0,0
KPPL,Paper & Printing,B,18.1,13.91,-50.28,-0.36,929.4,39.76,56.22,4.02,0,0
MONOSPOOL,Paper & Printing,Z,166.1,2,#DIV/0!,0,199,53.82,44.48,1.7,0,0
ORIONPHARM,Pharmaceuticals & Chemicals,A,59.1,78.77,20.81,2.84,2539,31.98,27.42,39.48,1.12,0
KEYACOSMET,Pharmaceuticals & Chemicals,B,10.9,2.25,45.42,0.24,10220.1,46.27,44.33,9.4,0,0
ACMELAB,Pharmaceuticals & Chemicals,A,77.6,92,11.33,6.85,2315,41.61,28.7,29.56,0.13,0
ORIONINFU,Pharmaceuticals & Chemicals,A,76.1,14.66,52.12,1.46,402.6,40.61,51.58,7.6,0.21,0
IBP,Pharmaceuticals & Chemicals,A,24.3,15.61,17.36,1.4,1314.07,46.37,44.47,9.07,0.09,0
MARICO,Pharmaceuticals & Chemicals,A,2329.2,53.95,23.60,98.69,514,90,1.43,3.29,5.28,0
SILCOPHL,Pharmaceuticals & Chemicals,A,35.2,23.64,44.00,0.8,1237.07,39.12,45.05,15.83,0,0
SILVAPHL,Pharmaceuticals & Chemicals,A,24.7,18.1,28.39,0.87,1564,52.39,33.44,14.16,0.01,0
PHARMAID,Pharmaceuticals & Chemicals,A,426.7,84.54,25.37,16.82,230.2,24.22,72.4,3.38,0,0
SQURPHARMA,Pharmaceuticals & Chemicals,A,223.4,93.57,14.12,15.82,8641.39,34.57,36.66,12.05,16.72,0
