CompanyName,Sector,Category,Last Price,NAV,P/E,EPS,Paid up,Dir,Pub,Inst,Foreign,Govt
UCB,Bank,A,18,31.35,7.44,2.42,12374.2,36.67,41.35,20.01,1.16,0.81
PUBALIBANK,Bank,A,26.4,39.63,7.33,3.6,10481.9,31.49,41.09,27,0.42,0
ONEBANKLTD,Bank,A,15,21.31,9.55,1.57,9052.46,32.06,39.06,28.49,0.39,0
UTTARABANK,Bank,A,25.5,36.79,5.96,4.28,5218.41,30.54,46.02,23.04,0.4,0
SHAHJABANK,Bank,A,22.1,20.33,11.33,1.95,10490,48.77,37.66,13.42,0,0
ICBIBANK,Bank,Z,7.1,-15.54,-25.36,-0.28,6846.02,52.76,24.65,22.44,0,0.17
ISLAMIBANK,Bank,A,30.8,40.89,10.34,2.98,16299,51.32,14.11,14.07,20.5,0
TRUSTBANK,Bank,A,37,29.37,13.21,2.8,6631.96,60,22.41,16.91,0.68,0
SIBL,Bank,A,15.4,21.29,9.22,1.67,9579.08,30.05,18.93,49.66,1.36,0
EBL,Bank,A,36.6,38.28,7.11,5.15,8317,30.18,23.92,45.29,0.61,0
ARAMITCEM,Cement,Z,51.7,27.63,-7.54,-6.86,537.8,47.14,37.39,15.47,0,0
CONFIDCEM,Cement,A,139.5,69.24,16.81,8.3,944.09,30.03,53.36,16.61,0,0
LHBL,Cement,A,65.4,16.89,32.22,2.03,11812.7,64.68,18.47,16.04,0.81,0
MEGHNACEM,Cement,A,75.9,34.73,36.49,2.08,471.87,49.76,15.08,35.16,0,0
PREMIERCEM,Cement,A,75,6.18,29.41,2.55,1253.5,47.74,36.88,15.67,0.01,0
HEIDELBCEM,Cement,A,331,70.1,-231.47,-1.43,764.04,60.67,12.5,26.32,0.51,0
MICEMENT,Cement,A,74.6,48.38,-83.82,-0.89,1684,67.08,15.92,16.93,0.07,0
MONNOCERA,Ceramics Sector,A,126.1,61.5,252.20,0.5,576.24,57.58,37.98,4.38,0.06,0
FUWANGCER,Ceramics Sector,B,24.4,13.6,51.91,0.47,1561.69,7.33,61.28,30.99,0.4,0
RAKCERAMIC,Ceramics Sector,A,38.9,18.41,53.29,0.73,4478.69,72.1,11.93,15.97,0,0
SPCERAMICS,Ceramics Sector,B,35.8,31.09,170.48,0.21,1668.66,50,41.52,8.48,0,0
STANCERAM,Ceramics Sector,B,224.3,11.56,-35.49,-6.32,263.61,30.5,66.3,3.2,0,0
IBBLPBOND,Corporate Bond,A,1038.5,2,#DIV/0!,0,3199,6.709,14.135,78.669,0.487,0
MIRAKHTER,Engineering,N,92.2,2,#DIV/0!,0,199,48.58,46.95,4.47,0,0
GPHISPAT,Engineering,A,39.3,19.01,49.75,0.79,4170.06,49.61,33.46,16.93,0,0
NPOLYMAR,Engineering,A,61,37.87,14.81,4.12,929,38.01,43.86,18.13,0,0
OAL,Engineering,B,16.8,15.98,-32.31,-0.52,1894.27,25.81,54.88,19.31,0,0
NTLTUBES,Engineering,A,106.5,155.5,1775.00,0.06,547.22,0.05,39.46,9.49,0,51
GOLDENSON,Engineering,B,20.9,2.1,-19.90,-1.05,1916.3,38.98,43.5,17.5,0,0
OIMEX,Engineering,A,28.4,15.96,55.69,0.51,869.85,30.14,32.42,37.44,0,0
IFADAUTOS,Engineering,A,56.1,41.73,60.51,0.9271,2728.5,54.87,16.05,28.25,0.83,0
BDTHAI,Engineering,B,28.5,29.6,135.71,0.21,1476.75,30.32,43.31,25.7,0.67,0
RENWICKJA,Engineering,A,882.2,2.08,-27.27,-32.35,219,0,31.47,17.51,0,51
APOLOISPAT,Engineering,B,12.1,22.19,242.00,0.05,4212.09,20.24,56.88,22.32,0.56,0
ANWARGALV,Engineering,A,255.9,12.85,126.06,2.03,351.46,35.2,49.21,15.51,0,0
SALAMCRST,Engineering,A,34.4,21.01,62.55,0.55,1182.71,53.07,20.58,26.35,0,0
DOMINAGE,Engineering,A,29.3,2,20.63,1.42,199,30.2,48.86,20.91,0.03,0
MONNOAGML,Engineering,A,620.5,2,#DIV/0!,0,199,42.98,53.65,3.27,0.1,0
BDLAMPS,Engineering,A,194.3,61.98,-19.67,-9.88,293,61.88,27.54,10.55,0.03,0
SSSTEEL,Engineering,A,23.9,19.48,15.42,1.55,3241.9,35.48,45.71,18.81,0,0
WALTONHIL,Engineering,A,1412.5,266.48,58.34,24.21,199,99.03,0.53,0.44,0,0
NAVANACNG,Engineering,A,41.6,37.63,46.22,0.9,884.28,42.49,28.97,28.54,0,0
RUNNERAUTO,Engineering,A,68.9,65.39,34.97,1.97,1334.4,50.04,21.02,28.94,0,0
RSRMSTEEL,Engineering,A,27.5,51.69,26.19,1.05,1210.89,47.03,33.4,19.88,0,0
BENGALWTL,Engineering,B,31.2,26.39,260.00,0.12,1113.76,53.23,17.23,29.54,0,0
BBS,Engineering,A,22.4,17.7,32.00,0.7,1828.3,26.2,35.39,38.28,0.13,0
COPPERTECH,Engineering,A,37.6,13.24,107.43,0.35,829,30.07,55.79,14.14,0,0
ATLASBANG,Engineering,B,128,133,-94.81,-1.35,530.27,0,32.37,16.63,0,51
YPL,Engineering,B,16.9,13.74,1690.00,0.01,935.99,30.52,59.01,10.47,0,0
WMSHIPYARD,Engineering,A,17.2,26.06,20.00,0.86,2551.04,30.01,53,16.99,0,0
AFTABAUTO,Engineering,A,34.4,62.95,382.22,0.09,1156.32,30,34.76,35.24,0,0
BDAUTOCA,Engineering,A,146.3,8.79,430.29,0.34,242.26,30.06,59.19,10.75,0,0
BBSCABLES,Engineering,A,66.3,34.52,9.95,6.66,2119.27,32.76,48.09,19.03,0.12,0
KDSALTD,Engineering,A,51.4,26.99,23.58,2.18,910.82,72.87,18.86,8.27,0,0
QUASEMIND,Engineering,A,52.5,33.01,75.00,0.7,860.15,30,43.67,26.3,0,0
ECABLES,Engineering,B,149.5,17.11,-23.14,-6.46,463,17.77,13.63,17.6,0,51
DESHBANDHU,Engineering,B,17.7,12.48,177.00,0.1,812.65,33.54,59.22,7.24,0,0
RANFOUNDRY,Engineering,A,142,29.73,45.66,3.11,299,49.89,33.63,16.48,0,0
NAHEEACP,Engineering,A,47.5,19.09,19.23,2.47,882.6,39.58,52.37,8.05,0,0
BSRMSTEEL,Engineering,A,59,58.84,29.95,1.97,3958.53,70.57,11.53,17.53,0.37,0
SHURWID,Engineering,A,23,14.21,16.67,1.38,772.68,12.01,69.04,18.95,0,0
BSRMLTD,Engineering,A,89.1,101.89,22.85,3.9,2559.68,40.98,22.7,19.25,17.07,0
KAY&QUE,Engineering,B,247,78.79,561.36,0.44,248.03,31.88,60.42,7.7,0,0
SINGERBD,Engineering,A,183.4,34.19,23.36,7.85,1196.03,57,13.97,22.96,6.07,0
AZIZPIPES,Engineering,B,112.8,10.02,433.85,0.26,252.47,33.83,62.69,3.88,0,0
ICB,Financial Institutions,A,126.8,58.49,171.35,0.74,7873.43,69.81,1.48,1.71,0,27
BDFINANCE,Financial Institutions,A,52.6,19.86,29.22,1.8,1974.81,30.87,54.77,14.36,0,0
DBH,Financial Institutions,A,77.8,43.72,13.46,5.78,1971.63,51.32,13.5,13.19,21.99,0
GSPFINANCE,Financial Institutions,A,24.4,24.49,16.71,1.46,1626.9,35.51,36.91,27.58,0,0
ISLAMICFIN,Financial Institutions,A,25.9,16.99,16.82,1.54,1602.27,32.57,31.98,35.46,0,0
FASFIN,Financial Institutions,B,9.8,14.05,5.08,1.93,1689.77,13.2,70.21,16.59,0,0
NHFIL,Financial Institutions,A,47.3,19.91,17.20,2.75,1369.31,60.79,19.97,9.9,0,9.34
LANKABAFIN,Financial Institutions,A,39.1,20.73,21.60,1.81,5587.39,33.56,45.86,19.38,1.2,0
MIDASFIN,Financial Institutions,B,22.3,12.98,32.79,0.68,1588.93,54.8,31.39,12.65,1.16,0
FAREASTFIN,Financial Institutions,Z,9.2,2.81,-2.10,-4.38,1839.63,41.88,45.67,12.38,0.07,0
ILFSL,Financial Institutions,B,10.3,14.72,-0.08,-126.36,2417.1,41.54,29.49,28.9,0.07,0
IDLC,Financial Institutions,A,62.9,42.41,9.33,6.74,4058.03,56.66,9.14,23.1,11.1,0
BAYLEASING,Financial Institutions,A,30.7,21.8,28.17,1.09,1607.88,29.64,31.92,38.31,0.13,0
UNITEDFIN,Financial Institutions,A,20,19.11,17.70,1.13,2070.15,51.83,28.74,19.43,0,0
UNIONCAP,Financial Institutions,B,11.1,9.21,2.69,4.12,1924.74,36.12,42.96,20.92,0,0
IPDC,Financial Institutions,A,30.6,18.34,16.11,1.9,3909.92,48.04,10.94,16.79,2.35,21.88
PREMIERLEA,Financial Institutions,B,11.9,20.96,70.00,0.17,1528.7,30,45.64,24.36,0,0
PRIMEFIN,Financial Institutions,B,15.3,10.94,80.53,0.19,2928.16,59.14,28.77,12.08,0.01,0
UTTARAFIN,Financial Institutions,A,40.9,64.45,4.33,9.45,1513.82,44.44,13.04,34.7,7.82,0
